post_id,word,lemma,pos,lemma_p
1,Reminder:,reminder:,VERB,reminder:_VERB
1,The,the,DET,the_DET
1,Miss,Miss,PROPN,Miss_PROPN
1,Universe,Universe,PROPN,Universe_PROPN
1,competition,competition,NOUN,competition_NOUN
1,will,will,AUX,will_AUX
1,be,be,AUX,be_AUX
1,LIVE,live,VERB,live_VERB
1,from,from,ADP,from_ADP
1,the,the,DET,the_DET
1,Bahamas,Bahamas,PROPN,Bahamas_PROPN
1,-,-,PUNCT,-_PUNCT
1,Tonight,tonight,NOUN,tonight_NOUN
1,@,@,NUM,@_NUM
1,9pm,9pm,NOUN,9pm_NOUN
1,(EST),(est),X,(est)_X
1,on,on,ADP,on_ADP
1,NBC:,NBC:,PROPN,NBC:_PROPN
1,http://tinyurl.com,http://tinyurl.com,PROPN,http://tinyurl.com_PROPN
1,/,/,SYM,/_SYM
1,mrzad9,mrzad9,PROPN,mrzad9_PROPN
2,@Timc1021,@timc1021,X,@timc1021_X
2,Thanks!,thanks!,INTJ,thanks!_INTJ
3,"""""@_KatherineWebb:","""""@_KatherineWebb:",PUNCT,"""""@_KatherineWebb:_PUNCT"
3,Looking,look,VERB,look_VERB
3,forward,forward,ADV,forward_ADV
3,to,to,ADP,to_ADP
3,#MissUSA,#MissUSA,PROPN,#MissUSA_PROPN
3,this,this,DET,this_DET
3,weekend,weekend,NOUN,weekend_NOUN
3,in,in,ADP,in_ADP
3,"Vegas!""""","Vegas!""""",PROPN,"Vegas!""""_PROPN"
3, , ,SPACE, _SPACE
3,Great,great,ADJ,great_ADJ
3,to,to,PART,to_PART
3,have,have,VERB,have_VERB
3,our,our,PRON,our_PRON
3,former,former,ADJ,former_ADJ
3,.,.,PUNCT,._PUNCT
3,Miss,Miss,PROPN,Miss_PROPN
3,Alabama!,Alabama!,PROPN,Alabama!_PROPN
4,Addressing,address,VERB,address_VERB
4, , ,SPACE, _SPACE
4,the,the,DET,the_DET
4,Rise,rise,NOUN,rise_NOUN
4,of,of,ADP,of_ADP
4,Chronic,Chronic,PROPN,Chronic_PROPN
4,Childhood,Childhood,PROPN,Childhood_PROPN
4,Illnesses.,Illnesses.,PROPN,Illnesses._PROPN
4,#AGENDA47,#AGENDA47,NOUN,#AGENDA47_NOUN
5,RT,RT,PROPN,RT_PROPN
5,@darhar981:,@darhar981:,PROPN,@darhar981:_PROPN
5,Attorney,Attorney,PROPN,Attorney_PROPN
5,General,General,PROPN,General_PROPN
5,Barr’s,Barr’s,PROPN,Barr’s_PROPN
5,Office,Office,PROPN,Office_PROPN
5,Shreds,shred,VERB,shred_VERB
5,NBC’s,nbc’s,PRON,nbc’s_PRON
5,Chuck,Chuck,PROPN,Chuck_PROPN
5,Todd,Todd,PROPN,Todd_PROPN
5,For,for,ADP,for_ADP
5,‘Deceptive,‘deceptive,PRON,‘deceptive_PRON
5,Editing’,editing’,NOUN,editing’_NOUN
5,Of,of,ADP,of_ADP
5,Barr’s,Barr’s,PROPN,Barr’s_PROPN
5,Comments,comment,NOUN,comment_NOUN
5,"
","
",SPACE,"
_SPACE"
5,On,on,ADP,on_ADP
5,“Meet,“meet,NOUN,“meet_NOUN
5,The,the,DET,the_DET
5,"Press,”","Press,”",NOUN,"Press,”_NOUN"
5,Todd,Todd,PROPN,Todd_PROPN
5,…,…,PUNCT,…_PUNCT
6,RT,RT,PROPN,RT_PROPN
6, , ,SPACE, _SPACE
6,@MagaGlam,@magaglam,SYM,@magaglam_SYM
6,🇺,🇺,X,🇺_X
6,🇸,🇸,NOUN,🇸_NOUN
6,♥,♥,PROPN,♥_PROPN
6,️,️,X,️_X
6,Bring,bring,VERB,bring_VERB
6,Back,back,ADP,back_ADP
6, , ,SPACE, _SPACE
6,Trump,Trump,PROPN,Trump_PROPN
6, , ,SPACE, _SPACE
6,💙,💙,PROPN,💙_PROPN
6,🇺,🇺,NOUN,🇺_NOUN
6,🇸,🇸,X,🇸_X
8,The,the,DET,the_DET
8,CBP,CBP,PROPN,CBP_PROPN
8,Home,Home,PROPN,Home_PROPN
8,App,App,PROPN,App_PROPN
8,is,be,AUX,be_AUX
8,now,now,ADV,now_ADV
8,available,available,ADJ,available_ADJ
8,across,across,ADP,across_ADP
8,all,all,DET,all_DET
8,mobile,mobile,ADJ,mobile_ADJ
8,App,App,PROPN,App_PROPN
8,Stores!,stores!,NOUN,stores!_NOUN
9,Congratulations,congratulation,NOUN,congratulation_NOUN
9,to,to,ADP,to_ADP
9,Mariano,Mariano,PROPN,Mariano_PROPN
9,Rivera,Rivera,PROPN,Rivera_PROPN
9,on,on,ADP,on_ADP
9,unanimously,unanimously,ADV,unanimously_ADV
9,being,be,AUX,be_AUX
9,elected,elect,VERB,elect_VERB
9,to,to,ADP,to_ADP
9,the,the,DET,the_DET
9,National,National,PROPN,National_PROPN
9,Baseball,Baseball,PROPN,Baseball_PROPN
9,Hall,Hall,PROPN,Hall_PROPN
9,of,of,ADP,of_ADP
9,Fame!,Fame!,PROPN,Fame!_PROPN
9,Not,not,PART,not_PART
9,only,only,ADV,only_ADV
9,a,a,DET,a_DET
9,great,great,ADJ,great_ADJ
9,player,player,NOUN,player_NOUN
9,but,but,CCONJ,but_CCONJ
9,a,a,DET,a_DET
9,great,great,ADJ,great_ADJ
9,person.,person.,NOUN,person._NOUN
9,I,I,PRON,I_PRON
9,am,be,AUX,be_AUX
9,thankful,thankful,ADJ,thankful_ADJ
9,for,for,ADP,for_ADP
9,Mariano’s,mariano’s,NOUN,mariano’s_NOUN
9,support,support,NOUN,support_NOUN
9,of,of,ADP,of_ADP
9,the,the,DET,the_DET
9,Opioid,Opioid,PROPN,Opioid_PROPN
9,Drug,Drug,PROPN,Drug_PROPN
9,Abuse,Abuse,PROPN,Abuse_PROPN
9,Commission,Commission,PROPN,Commission_PROPN
9,and,and,CCONJ,and_CCONJ
9,@FitnessGov.,@fitnessgov.,NOUN,@fitnessgov._NOUN
9,#EnterSandman,#EnterSandman,PROPN,#EnterSandman_PROPN
9,#HOF2019,#HOF2019,PROPN,#HOF2019_PROPN
9,💯,💯,PROPN,💯_PROPN
9,https://t.co,https://t.co,PROPN,https://t.co_PROPN
9,/,/,SYM,/_SYM
9,reU1gKWHSQ,reu1gkwhsq,NOUN,reu1gkwhsq_NOUN
10,My,my,PRON,my_PRON
10,recent,recent,ADJ,recent_ADJ
10,statement,statement,NOUN,statement_NOUN
10,re:,re:,NUM,re:_NUM
10,@macys,@macys,PROPN,@macys_PROPN
10,--,--,PUNCT,--_PUNCT
10,We,we,PRON,we_PRON
10,must,must,AUX,must_AUX
10,have,have,VERB,have_VERB
10,strong,strong,ADJ,strong_ADJ
10,borders,border,NOUN,border_NOUN
10,"&amp,","&amp,",ADJ,"&amp,_ADJ"
10,stop,stop,VERB,stop_VERB
10,illegal,illegal,ADJ,illegal_ADJ
10,immigration,immigration,NOUN,immigration_NOUN
10,now!,now!,PROPN,now!_PROPN
10,...,...,PUNCT,..._PUNCT
10,https://t.co,https://t.co,PROPN,https://t.co_PROPN
10,/,/,SYM,/_SYM
10,HLCboRmTbl,HLCboRmTbl,PROPN,HLCboRmTbl_PROPN
11,ICYMI-,ICYMI-,PROPN,ICYMI-_PROPN
11,This,this,DET,this_DET
11,week,week,NOUN,week_NOUN
11,we,we,PRON,we_PRON
11,hosted,host,VERB,host_VERB
11,a,a,DET,a_DET
11,#MadeInAmerica,#MadeInAmerica,PROPN,#MadeInAmerica_PROPN
11,"event,","event,",NOUN,"event,_NOUN"
11,right,right,ADV,right_ADV
11,here,here,ADV,here_ADV
11,at,at,ADP,at_ADP
11,the,the,DET,the_DET
11,@WhiteHouse!,@WhiteHouse!,PROPN,@WhiteHouse!_PROPN
11,If,if,SCONJ,if_SCONJ
11,it,it,PRON,it_PRON
11,is,be,AUX,be_AUX
11,MADE,make,VERB,make_VERB
11,IN,in,ADP,in_ADP
11,"AMERICA,","america,",NOUN,"america,_NOUN"
11,it,it,PRON,it_PRON
11,is,be,AUX,be_AUX
11,the,the,DET,the_DET
11,BEST!,best!,SYM,best!_SYM
11,USA,USA,PROPN,USA_PROPN
11,🇺,🇺,X,🇺_X
11,🇸,🇸,X,🇸_X
11,https://t.co,https://t.co,PROPN,https://t.co_PROPN
11,/,/,SYM,/_SYM
11,q4vB9GdE5y,q4vB9GdE5y,PUNCT,q4vB9GdE5y_PUNCT
12,https://www.mediaite.com,https://www.mediaite.com,PROPN,https://www.mediaite.com_PROPN
12,/,/,SYM,/_SYM
12,tv,tv,NOUN,tv_NOUN
12,/,/,SYM,/_SYM
12,trump,trump,NOUN,trump_NOUN
12,-,-,PUNCT,-_PUNCT
12,team,team,NOUN,team_NOUN
12,-,-,PUNCT,-_PUNCT
12,scored,score,VERB,score_VERB
12,-,-,PUNCT,-_PUNCT
12,big,big,ADJ,big_ADJ
12,-,-,PUNCT,-_PUNCT
12,win,win,NOUN,win_NOUN
12,-,-,PUNCT,-_PUNCT
12,with,with,ADP,with_ADP
12,-,-,PUNCT,-_PUNCT
12,potentially,potentially,ADV,potentially_ADV
12,-,-,PUNCT,-_PUNCT
12,explosive,explosive,ADJ,explosive_ADJ
12,-,-,PUNCT,-_PUNCT
12,ruling,rule,VERB,rule_VERB
12,-,-,PUNCT,-_PUNCT
12,on,on,ADP,on_ADP
12,-,-,PUNCT,-_PUNCT
12,special,special,ADJ,special_ADJ
12,-,-,PUNCT,-_PUNCT
12,master,master,NOUN,master_NOUN
12,-,-,PUNCT,-_PUNCT
12,to,to,ADP,to_ADP
12,-,-,PUNCT,-_PUNCT
12,review,review,NOUN,review_NOUN
12,-,-,PUNCT,-_PUNCT
12,docs,docs,PROPN,docs_PROPN
12,-,-,PUNCT,-_PUNCT
12,taken,take,VERB,take_VERB
12,-,-,PUNCT,-_PUNCT
12,by,by,ADP,by_ADP
12,-,-,PUNCT,-_PUNCT
12,the,the,DET,the_DET
12,-,-,PUNCT,-_PUNCT
12,fbi,fbi,PROPN,fbi_PROPN
12,-,-,PUNCT,-_PUNCT
12,argues,argue,VERB,argue_VERB
12,-,-,PUNCT,-_PUNCT
12,andrew,andrew,PROPN,andrew_PROPN
12,-,-,PUNCT,-_PUNCT
12,mccarthy/,mccarthy/,NUM,mccarthy/_NUM
13,Thank,thank,VERB,thank_VERB
13,you,you,PRON,you_PRON
13,Governor,Governor,PROPN,Governor_PROPN
13,Phil,Phil,PROPN,Phil_PROPN
13,Bryant,Bryant,PROPN,Bryant_PROPN
13,-,-,PUNCT,-_PUNCT
13,it,it,PRON,it_PRON
13,was,be,AUX,be_AUX
13,my,my,PRON,my_PRON
13,great,great,ADJ,great_ADJ
13,honor,honor,NOUN,honor_NOUN
13,to,to,PART,to_PART
13,be,be,AUX,be_AUX
13,there!,there!,NOUN,there!_NOUN
13,#MAGA,#MAGA,PROPN,#MAGA_PROPN
13,https://t.co,https://t.co,PROPN,https://t.co_PROPN
13,/,/,SYM,/_SYM
13,UbY7Qu2fMt,UbY7Qu2fMt,PROPN,UbY7Qu2fMt_PROPN
14,Thank,thank,VERB,thank_VERB
14,you,you,PRON,you_PRON
14,to,to,ADP,to_ADP
14,Linda,Linda,PROPN,Linda_PROPN
14,Bean,Bean,PROPN,Bean_PROPN
14,of,of,ADP,of_ADP
14,L.L.Bean,L.L.Bean,PROPN,L.L.Bean_PROPN
14,for,for,ADP,for_ADP
14,your,your,PRON,your_PRON
14,great,great,ADJ,great_ADJ
14,support,support,NOUN,support_NOUN
14,and,and,CCONJ,and_CCONJ
14,courage.,courage.,VERB,courage._VERB
14,People,People,NOUN,People_NOUN
14,will,will,AUX,will_AUX
14,support,support,VERB,support_VERB
14,you,you,PRON,you_PRON
14,even,even,ADV,even_ADV
14,more,more,ADV,more_ADV
14,now.,now.,ADJ,now._ADJ
14,Buy,Buy,PROPN,Buy_PROPN
14,L.L.Bean.,L.L.Bean.,PROPN,L.L.Bean._PROPN
14,@LBPerfectMaine,@lbperfectmaine,NOUN,@lbperfectmaine_NOUN
15,"""""@HarmonBrew:","""""@harmonbrew:",NOUN,"""""@harmonbrew:_NOUN"
15,@FoxNews,@FoxNews,PROPN,@FoxNews_PROPN
15,@megynkelly,@megynkelly,ADV,@megynkelly_ADV
15, , ,SPACE, _SPACE
15,DonaldTrump,DonaldTrump,PROPN,DonaldTrump_PROPN
15,#KellyFile,#kellyfile,NOUN,#kellyfile_NOUN
15,Trump,trump,NOUN,trump_NOUN
15,is,be,AUX,be_AUX
15,so,so,ADV,so_ADV
15,right,right,ADJ,right_ADJ
15,about,about,ADP,about_ADP
15,Geller.,Geller.,PROPN,Geller._PROPN
15,"Megyn,","megyn,",NOUN,"megyn,_NOUN"
15,stop,stop,VERB,stop_VERB
15,advocating,advocate,VERB,advocate_VERB
15,for,for,ADP,for_ADP
15,"her,","her,",VERB,"her,_VERB"
15,its,its,PRON,its_PRON
15,a,a,DET,a_DET
15,loser,loser,NOUN,loser_NOUN
15,.,.,PUNCT,._PUNCT
15,"""""","""""",PUNCT,"""""_PUNCT"
16,We,we,PRON,we_PRON
16,now,now,ADV,now_ADV
16,have,have,VERB,have_VERB
16,complete,complete,ADJ,complete_ADJ
16,and,and,CCONJ,and_CCONJ
16,total,total,ADJ,total_ADJ
16,control,control,NOUN,control_NOUN
16,of,of,ADP,of_ADP
16,the,the,DET,the_DET
16,skies,sky,NOUN,sky_NOUN
16,over,over,ADP,over_ADP
16,Iran.,Iran.,PROPN,Iran._PROPN
16,Iran,Iran,PROPN,Iran_PROPN
16,had,have,VERB,have_VERB
16,good,good,ADJ,good_ADJ
16,sky,sky,NOUN,sky_NOUN
16,trackers,tracker,NOUN,tracker_NOUN
16,and,and,CCONJ,and_CCONJ
16,other,other,ADJ,other_ADJ
16,defensive,defensive,ADJ,defensive_ADJ
16,"equipment,","equipment,",NOUN,"equipment,_NOUN"
16,and,and,CCONJ,and_CCONJ
16,plenty,plenty,NOUN,plenty_NOUN
16,of,of,ADP,of_ADP
16,"it,","it,",PROPN,"it,_PROPN"
16,but,but,CCONJ,but_CCONJ
16,it,it,PRON,it_PRON
16,doesn’t,doesn’t,ADJ,doesn’t_ADJ
16,compare,compare,VERB,compare_VERB
16,to,to,ADP,to_ADP
16,American,American,PROPN,American_PROPN
16,"made,","made,",PROPN,"made,_PROPN"
16,"conceived,","conceived,",PROPN,"conceived,_PROPN"
16,and,and,CCONJ,and_CCONJ
16,manufactured,manufactured,ADJ,manufactured_ADJ
16,“stuff,“stuff,NOUN,“stuff_NOUN
16,.,.,PUNCT,._PUNCT
16,”,"""",PUNCT,"""_PUNCT"
16,Nobody,nobody,PRON,nobody_PRON
16,does,do,VERB,do_VERB
16,it,it,PRON,it_PRON
16,better,well,ADJ,well_ADJ
16,than,than,ADP,than_ADP
16,the,the,DET,the_DET
16,good,good,ADJ,good_ADJ
16,ol’,ol’,NOUN,ol’_NOUN
16,USA.,usa.,ADV,usa._ADV
17,https://www.thegatewaypundit.com/2025/07,https://www.thegatewaypundit.com/2025/07,PROPN,https://www.thegatewaypundit.com/2025/07_PROPN
17,/,/,SYM,/_SYM
17,her,her,PROPN,her_PROPN
17,-,-,PUNCT,-_PUNCT
17,biggest,big,ADJ,big_ADJ
17,-,-,PUNCT,-_PUNCT
17,scandal,scandal,NOUN,scandal_NOUN
17,-,-,PUNCT,-_PUNCT
17,yet,yet,ADV,yet_ADV
17,-,-,PUNCT,-_PUNCT
17,iran,iran,PROPN,iran_PROPN
17,-,-,PUNCT,-_PUNCT
17,china,china,PROPN,china_PROPN
17,-,-,PUNCT,-_PUNCT
17,are,be,AUX,be_AUX
17,-,-,PUNCT,-_PUNCT
17,circumventing/,circumventing/,NUM,circumventing/_NUM
18,https://www.foxnews.com,https://www.foxnews.com,PROPN,https://www.foxnews.com_PROPN
18,/,/,SYM,/_SYM
18,politics,politic,NOUN,politic_NOUN
18,/,/,SYM,/_SYM
18,hunter,hunter,NOUN,hunter_NOUN
18,-,-,PUNCT,-_PUNCT
18,biden,biden,NOUN,biden_NOUN
18,-,-,PUNCT,-_PUNCT
18,received-250k,received-250k,PROPN,received-250k_PROPN
18,-,-,PUNCT,-_PUNCT
18,wire,wire,NOUN,wire_NOUN
18,-,-,PUNCT,-_PUNCT
18,from,from,ADP,from_ADP
18,-,-,PUNCT,-_PUNCT
18,beijing,beijing,NOUN,beijing_NOUN
18,-,-,PUNCT,-_PUNCT
18,with,with,ADP,with_ADP
18,-,-,PUNCT,-_PUNCT
18,beneficiary,beneficiary,NOUN,beneficiary_NOUN
18,-,-,PUNCT,-_PUNCT
18,address,address,NOUN,address_NOUN
18,-,-,PUNCT,-_PUNCT
18,listed,list,VERB,list_VERB
18,-,-,PUNCT,-_PUNCT
18,as,as,ADP,as_ADP
18,-,-,PUNCT,-_PUNCT
18,joe,joe,PROPN,joe_PROPN
18,-,-,PUNCT,-_PUNCT
18,biden,biden,NOUN,biden_NOUN
18,-,-,PUNCT,-_PUNCT
18,delaware,delaware,NOUN,delaware_NOUN
18,-,-,PUNCT,-_PUNCT
18,home,home,NOUN,home_NOUN
19,Via,Via,PROPN,Via_PROPN
19,@BreitbartNews,@BreitbartNews,PROPN,@BreitbartNews_PROPN
19,by,by,ADP,by_ADP
19,@TheTonyLee:,@TheTonyLee:,PROPN,@TheTonyLee:_PROPN
19,"""""@Citizens_United","""""@Citizens_United",PUNCT,"""""@Citizens_United_PUNCT"
19,sues,sue,VERB,sue_VERB
19,@AGSchneiderman,@AGSchneiderman,PROPN,@AGSchneiderman_PROPN
19,for,for,ADP,for_ADP
19,violating,violate,VERB,violate_VERB
19,1st,1st,PROPN,1st_PROPN
19,"Amendment""""","Amendment""""",PROPN,"Amendment""""_PROPN"
19,http://t.co/1YMvzIOnfI,http://t.co/1ymvzionfi,NOUN,http://t.co/1ymvzionfi_NOUN
20,"""""@LBabcock2:","""""@LBabcock2:",PROPN,"""""@LBabcock2:_PROPN"
20, , ,SPACE, _SPACE
20,@oreillyfactor,@oreillyfactor,PROPN,@oreillyfactor_PROPN
20,@FoxNews,@foxnew,NOUN,@foxnew_NOUN
20,I,I,PRON,I_PRON
20,have,have,AUX,have_AUX
20,always,always,ADV,always_ADV
20,wondered,wonder,VERB,wonder_VERB
20,why,why,SCONJ,why_SCONJ
