post_id,date,word,lemma,pos,xpos,lemma_p
1,2010-11-04,Reminder,reminder,NOUN,NN,reminder_NOUN
1,2010-11-04,:,:,PUNCT,:,:_PUNCT
1,2010-11-04,The,the,DET,DT,the_DET
1,2010-11-04,Miss,Miss,PROPN,NNP,Miss_PROPN
1,2010-11-04,Universe,Universe,PROPN,NNP,Universe_PROPN
1,2010-11-04,competition,competition,NOUN,NN,competition_NOUN
1,2010-11-04,will,will,AUX,MD,will_AUX
1,2010-11-04,be,be,AUX,VB,be_AUX
1,2010-11-04,LIVE,live,ADJ,JJ,live_ADJ
1,2010-11-04,from,from,ADP,IN,from_ADP
1,2010-11-04,the,the,DET,DT,the_DET
1,2010-11-04,Bahamas,Bahamas,PROPN,NNP,Bahamas_PROPN
1,2010-11-04,-,-,PUNCT,",",-_PUNCT
1,2010-11-04,Tonight,tonight,NOUN,NN,tonight_NOUN
1,2010-11-04,@,@,ADP,IN,@_ADP
1,2010-11-04,9,9,NUM,CD,9_NUM
1,2010-11-04,pm,p.m.,NOUN,NN,p.m._NOUN
1,2010-11-04,(,(,PUNCT,-LRB-,(_PUNCT
1,2010-11-04,EST,EST,PROPN,NNP,EST_PROPN
1,2010-11-04,),),PUNCT,-RRB-,)_PUNCT
1,2010-11-04,on,on,ADP,IN,on_ADP
1,2010-11-04,NBC,NBC,PROPN,NNP,NBC_PROPN
1,2010-11-04,:,:,PUNCT,:,:_PUNCT
1,2010-11-04,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,PROPN,ADD,http://tinyurl.com/mrzad9_PROPN
2,2013-08-15,@,@,PUNCT,NFP,@_PUNCT
2,2013-08-15,Timc1021,Timc1021,PROPN,NNP,Timc1021_PROPN
2,2013-08-15,Thanks,thanks,NOUN,NN,thanks_NOUN
2,2013-08-15,!,!,PUNCT,.,!_PUNCT
3,2013-06-12,"""","""",PUNCT,``,"""_PUNCT"
3,2013-06-12,"""","""",PUNCT,``,"""_PUNCT"
3,2013-06-12,@_KatherineWebb,@_KatherineWebb,PROPN,NNP,@_KatherineWebb_PROPN
3,2013-06-12,:,:,PUNCT,:,:_PUNCT
3,2013-06-12,Looking,look,VERB,VBG,look_VERB
3,2013-06-12,forward,forward,ADV,RB,forward_ADV
3,2013-06-12,to,to,ADP,IN,to_ADP
3,2013-06-12,#,#,SYM,NN,#_SYM
3,2013-06-12,MissUSA,MissUSA,PROPN,NNP,MissUSA_PROPN
3,2013-06-12,this,this,DET,DT,this_DET
3,2013-06-12,weekend,weekend,NOUN,NN,weekend_NOUN
3,2013-06-12,in,in,ADP,IN,in_ADP
3,2013-06-12,Vegas,Vegas,PROPN,NNP,Vegas_PROPN
3,2013-06-12,!,!,PUNCT,.,!_PUNCT
3,2013-06-12,"""","""",PUNCT,'',"""_PUNCT"
3,2013-06-12,"""","""",PUNCT,'',"""_PUNCT"
3,2013-06-12,Great,great,ADJ,JJ,great_ADJ
3,2013-06-12,to,to,PART,TO,to_PART
3,2013-06-12,have,have,VERB,VB,have_VERB
3,2013-06-12,our,our,PRON,PRP$,our_PRON
3,2013-06-12,former,former,ADJ,JJ,former_ADJ
3,2013-06-12,.,.,PUNCT,.,._PUNCT
3,2013-06-12,Miss,Miss,PROPN,NNP,Miss_PROPN
3,2013-06-12,Alabama,Alabama,PROPN,NNP,Alabama_PROPN
3,2013-06-12,!,!,PUNCT,.,!_PUNCT
4,2011-09-04,Addressing,address,VERB,VBG,address_VERB
4,2011-09-04,the,the,DET,DT,the_DET
4,2011-09-04,Rise,rise,PROPN,NNP,rise_PROPN
4,2011-09-04,of,of,ADP,IN,of_ADP
4,2011-09-04,Chronic,Chronic,ADJ,NNP,Chronic_ADJ
4,2011-09-04,Childhood,Childhood,PROPN,NNP,Childhood_PROPN
4,2011-09-04,Illnesses,Illnesses,PROPN,NNPS,Illnesses_PROPN
4,2011-09-04,.,.,PUNCT,.,._PUNCT
4,2011-09-04,#AGENDA47,#AGENDA47,PROPN,ADD,#AGENDA47_PROPN
5,2020-05-11,RT,RT,PROPN,NNP,RT_PROPN
5,2020-05-11,@darhar981,@darhar981,PROPN,NNP,@darhar981_PROPN
5,2020-05-11,:,:,PUNCT,:,:_PUNCT
5,2020-05-11,Attorney,Attorney,PROPN,NNP,Attorney_PROPN
5,2020-05-11,General,General,PROPN,NNP,General_PROPN
5,2020-05-11,Barr,Barr,PROPN,NNP,Barr_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Office,Office,PROPN,NNP,Office_PROPN
5,2020-05-11,Shreds,Shreds,PROPN,NNP,Shreds_PROPN
5,2020-05-11,NBC,NBC,PROPN,NNP,NBC_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Chuck,Chuck,PROPN,NNP,Chuck_PROPN
5,2020-05-11,Todd,Todd,PROPN,NNP,Todd_PROPN
5,2020-05-11,For,for,ADP,IN,for_ADP
5,2020-05-11,‘,',PUNCT,``,'_PUNCT
5,2020-05-11,Deceptive,deceptive,ADJ,JJ,deceptive_ADJ
5,2020-05-11,Editing,editing,NOUN,NN,editing_NOUN
5,2020-05-11,’,',PUNCT,'','_PUNCT
5,2020-05-11,Of,of,ADP,IN,of_ADP
5,2020-05-11,Barr,Barr,PROPN,NNP,Barr_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Comments,comment,NOUN,NNS,comment_NOUN
5,2020-05-11,On,on,ADP,IN,on_ADP
5,2020-05-11,“,'',PUNCT,``,''_PUNCT
5,2020-05-11,Meet,meet,VERB,VB,meet_VERB
5,2020-05-11,The,the,DET,DT,the_DET
5,2020-05-11,Press,Press,PROPN,NNP,Press_PROPN
5,2020-05-11,",",",",PUNCT,",",",_PUNCT"
5,2020-05-11,”,'',PUNCT,'',''_PUNCT
5,2020-05-11,Todd,Todd,PROPN,NNP,Todd_PROPN
5,2020-05-11,…,…,PUNCT,:,…_PUNCT
6,2011-09-07,RT,RT,PROPN,NNP,RT_PROPN
6,2011-09-07,@,@,ADP,IN,@_ADP
6,2011-09-07,MagaGlam🇺🇸♥️,MagaGlam🇺🇸♥️,PROPN,NNP,MagaGlam🇺🇸♥️_PROPN
6,2011-09-07,Bring,bring,VERB,VB,bring_VERB
6,2011-09-07,Back,back,ADP,IN,back_ADP
6,2011-09-07,Trump,Trump,PROPN,NNP,Trump_PROPN
6,2011-09-07,💙🇺🇸,💙🇺🇸,PUNCT,.,💙🇺🇸_PUNCT
8,2025-03-19,The,the,DET,DT,the_DET
8,2025-03-19,CBP,CBP,PROPN,NNP,CBP_PROPN
8,2025-03-19,Home,Home,PROPN,NNP,Home_PROPN
8,2025-03-19,App,App,PROPN,NNP,App_PROPN
8,2025-03-19,is,be,AUX,VBZ,be_AUX
8,2025-03-19,now,now,ADV,RB,now_ADV
8,2025-03-19,available,available,ADJ,JJ,available_ADJ
8,2025-03-19,across,across,ADP,IN,across_ADP
8,2025-03-19,all,all,DET,DT,all_DET
8,2025-03-19,mobile,mobile,ADJ,JJ,mobile_ADJ
8,2025-03-19,App,app,NOUN,NN,app_NOUN
8,2025-03-19,Stores,store,NOUN,NNS,store_NOUN
8,2025-03-19,!,!,PUNCT,.,!_PUNCT
9,2019-01-23,Congratulations,congratulation,NOUN,NNS,congratulation_NOUN
9,2019-01-23,to,to,ADP,IN,to_ADP
9,2019-01-23,Mariano,Mariano,PROPN,NNP,Mariano_PROPN
9,2019-01-23,Rivera,Rivera,PROPN,NNP,Rivera_PROPN
9,2019-01-23,on,on,SCONJ,IN,on_SCONJ
9,2019-01-23,unanimously,unanimously,ADV,RB,unanimously_ADV
9,2019-01-23,being,be,AUX,VBG,be_AUX
9,2019-01-23,elected,elect,VERB,VBN,elect_VERB
9,2019-01-23,to,to,ADP,IN,to_ADP
9,2019-01-23,the,the,DET,DT,the_DET
9,2019-01-23,National,National,ADJ,NNP,National_ADJ
9,2019-01-23,Baseball,Baseball,PROPN,NNP,Baseball_PROPN
9,2019-01-23,Hall,Hall,PROPN,NNP,Hall_PROPN
9,2019-01-23,of,of,ADP,IN,of_ADP
9,2019-01-23,Fame,Fame,PROPN,NNP,Fame_PROPN
9,2019-01-23,!,!,PUNCT,.,!_PUNCT
9,2019-01-23,Not,not,PART,RB,not_PART
9,2019-01-23,only,only,ADV,RB,only_ADV
9,2019-01-23,a,a,DET,DT,a_DET
9,2019-01-23,great,great,ADJ,JJ,great_ADJ
9,2019-01-23,player,player,NOUN,NN,player_NOUN
9,2019-01-23,but,but,CCONJ,CC,but_CCONJ
9,2019-01-23,a,a,DET,DT,a_DET
9,2019-01-23,great,great,ADJ,JJ,great_ADJ
9,2019-01-23,person,person,NOUN,NN,person_NOUN
9,2019-01-23,.,.,PUNCT,.,._PUNCT
9,2019-01-23,I,I,PRON,PRP,I_PRON
9,2019-01-23,am,be,AUX,VBP,be_AUX
9,2019-01-23,thankful,thankful,ADJ,JJ,thankful_ADJ
9,2019-01-23,for,for,ADP,IN,for_ADP
9,2019-01-23,Mariano,Mariano,PROPN,NNP,Mariano_PROPN
9,2019-01-23,’s,'s,PART,POS,'s_PART
9,2019-01-23,support,support,NOUN,NN,support_NOUN
9,2019-01-23,of,of,ADP,IN,of_ADP
9,2019-01-23,the,the,DET,DT,the_DET
9,2019-01-23,Opioid,Opioid,ADJ,NNP,Opioid_ADJ
9,2019-01-23,Drug,drug,PROPN,NNP,drug_PROPN
9,2019-01-23,Abuse,abuse,PROPN,NNP,abuse_PROPN
9,2019-01-23,Commission,Commission,PROPN,NNP,Commission_PROPN
9,2019-01-23,and,and,CCONJ,CC,and_CCONJ
9,2019-01-23,@FitnessGov.,@FitnessGov.,PROPN,NNP,@FitnessGov._PROPN
9,2019-01-23,#,#,SYM,NN,#_SYM
9,2019-01-23,EnterSandman,EnterSandman,PROPN,NNP,EnterSandman_PROPN
9,2019-01-23,#HOF,#HOF,PROPN,NNP,#HOF_PROPN
9,2019-01-23,2019,2019,NUM,CD,2019_NUM
9,2019-01-23,💯,💯,PUNCT,.,💯_PUNCT
9,2019-01-23,https://t.co/reU1gKWHSQ,https://t.co/reU1gKWHSQ,PROPN,ADD,https://t.co/reU1gKWHSQ_PROPN
10,2015-07-01,My,my,PRON,PRP$,my_PRON
10,2015-07-01,recent,recent,ADJ,JJ,recent_ADJ
10,2015-07-01,statement,statement,NOUN,NN,statement_NOUN
10,2015-07-01,re,re,ADP,IN,re_ADP
10,2015-07-01,:,:,PUNCT,:,:_PUNCT
10,2015-07-01,@macys,@macy,PROPN,NNP,@macy_PROPN
10,2015-07-01,--,--,PUNCT,:,--_PUNCT
10,2015-07-01,We,we,PRON,PRP,we_PRON
10,2015-07-01,must,must,AUX,MD,must_AUX
10,2015-07-01,have,have,VERB,VB,have_VERB
10,2015-07-01,strong,strong,ADJ,JJ,strong_ADJ
10,2015-07-01,borders,border,NOUN,NNS,border_NOUN
10,2015-07-01,&amp,&amp,NOUN,NN,&amp_NOUN
10,2015-07-01,",",",",PUNCT,",",",_PUNCT"
10,2015-07-01,stop,stop,VERB,VB,stop_VERB
10,2015-07-01,illegal,illegal,ADJ,JJ,illegal_ADJ
10,2015-07-01,immigration,immigration,NOUN,NN,immigration_NOUN
10,2015-07-01,now,now,ADV,RB,now_ADV
10,2015-07-01,!...,!...,PUNCT,.,!..._PUNCT
10,2015-07-01,https://t.co/HLCboRmTbl,https://t.co/HLCboRmTbl,PROPN,ADD,https://t.co/HLCboRmTbl_PROPN
11,2017-07-21,ICYMI,ICYMI,PROPN,NNP,ICYMI_PROPN
11,2017-07-21,-,-,PUNCT,",",-_PUNCT
11,2017-07-21,This,this,DET,DT,this_DET
11,2017-07-21,week,week,NOUN,NN,week_NOUN
11,2017-07-21,we,we,PRON,PRP,we_PRON
11,2017-07-21,hosted,host,VERB,VBD,host_VERB
11,2017-07-21,a,a,DET,DT,a_DET
11,2017-07-21,#,#,SYM,NN,#_SYM
11,2017-07-21,MadeInAmerica,MadeInAmerica,PROPN,NNP,MadeInAmerica_PROPN
11,2017-07-21,event,event,NOUN,NN,event_NOUN
11,2017-07-21,",",",",PUNCT,",",",_PUNCT"
11,2017-07-21,right,right,ADV,RB,right_ADV
11,2017-07-21,here,here,ADV,RB,here_ADV
11,2017-07-21,at,at,ADP,IN,at_ADP
11,2017-07-21,the,the,DET,DT,the_DET
11,2017-07-21,@WhiteHouse,@WhiteHouse,PROPN,NNP,@WhiteHouse_PROPN
11,2017-07-21,!,!,PUNCT,.,!_PUNCT
11,2017-07-21,If,if,SCONJ,IN,if_SCONJ
11,2017-07-21,it,it,PRON,PRP,it_PRON
11,2017-07-21,is,be,AUX,VBZ,be_AUX
11,2017-07-21,MADE,made,VERB,VBN,made_VERB
11,2017-07-21,IN,in,ADP,IN,in_ADP
11,2017-07-21,AMERICA,America,PROPN,NNP,America_PROPN
11,2017-07-21,",",",",PUNCT,",",",_PUNCT"
11,2017-07-21,it,it,PRON,PRP,it_PRON
11,2017-07-21,is,be,AUX,VBZ,be_AUX
11,2017-07-21,the,the,DET,DT,the_DET
11,2017-07-21,BEST,good,ADJ,JJS,good_ADJ
11,2017-07-21,!,!,PUNCT,.,!_PUNCT
11,2017-07-21,USA,USA,PROPN,NNP,USA_PROPN
11,2017-07-21,🇺,🇺,PUNCT,",",🇺_PUNCT
11,2017-07-21,🇸,🇸,PUNCT,.,🇸_PUNCT
11,2017-07-21,https://t.co/q4vB9GdE5y,https://t.co/q4vB9GdE5y,PROPN,ADD,https://t.co/q4vB9GdE5y_PROPN
12,2011-08-31,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/,PROPN,ADD,https://www.mediaite.com/tv/trump-team-scored-big-win-with-potentially-explosive-ruling-on-special-master-to-review-docs-taken-by-the-fbi-argues-andrew-mccarthy/_PROPN
13,2018-10-03,Thank,thank,VERB,VBP,thank_VERB
13,2018-10-03,you,you,PRON,PRP,you_PRON
13,2018-10-03,Governor,Governor,PROPN,NNP,Governor_PROPN
13,2018-10-03,Phil,Phil,PROPN,NNP,Phil_PROPN
13,2018-10-03,Bryant,Bryant,PROPN,NNP,Bryant_PROPN
13,2018-10-03,-,-,PUNCT,",",-_PUNCT
13,2018-10-03,it,it,PRON,PRP,it_PRON
13,2018-10-03,was,be,AUX,VBD,be_AUX
13,2018-10-03,my,my,PRON,PRP$,my_PRON
13,2018-10-03,great,great,ADJ,JJ,great_ADJ
13,2018-10-03,honor,honor,NOUN,NN,honor_NOUN
13,2018-10-03,to,to,PART,TO,to_PART
13,2018-10-03,be,be,AUX,VB,be_AUX
13,2018-10-03,there,there,ADV,RB,there_ADV
13,2018-10-03,!,!,PUNCT,.,!_PUNCT
13,2018-10-03,#,#,SYM,NN,#_SYM
13,2018-10-03,MAGA,MAGA,PROPN,NNP,MAGA_PROPN
13,2018-10-03,https://t.co/UbY7Qu2fMt,https://t.co/UbY7Qu2fMt,PROPN,ADD,https://t.co/UbY7Qu2fMt_PROPN
14,2017-01-12,Thank,thank,VERB,VBP,thank_VERB
14,2017-01-12,you,you,PRON,PRP,you_PRON
14,2017-01-12,to,to,ADP,IN,to_ADP
14,2017-01-12,Linda,Linda,PROPN,NNP,Linda_PROPN
14,2017-01-12,Bean,Bean,PROPN,NNP,Bean_PROPN
14,2017-01-12,of,of,ADP,IN,of_ADP
14,2017-01-12,L.L.,L.L.,PROPN,NNP,L.L._PROPN
14,2017-01-12,Bean,bean,NOUN,NN,bean_NOUN
14,2017-01-12,for,for,ADP,IN,for_ADP
14,2017-01-12,your,your,PRON,PRP$,your_PRON
14,2017-01-12,great,great,ADJ,JJ,great_ADJ
14,2017-01-12,support,support,NOUN,NN,support_NOUN
14,2017-01-12,and,and,CCONJ,CC,and_CCONJ
14,2017-01-12,courage,courage,NOUN,NN,courage_NOUN
14,2017-01-12,.,.,PUNCT,.,._PUNCT
14,2017-01-12,People,person,NOUN,NNS,person_NOUN
14,2017-01-12,will,will,AUX,MD,will_AUX
14,2017-01-12,support,support,VERB,VB,support_VERB
14,2017-01-12,you,you,PRON,PRP,you_PRON
14,2017-01-12,even,even,ADV,RB,even_ADV
14,2017-01-12,more,more,ADV,RBR,more_ADV
14,2017-01-12,now,now,ADV,RB,now_ADV
14,2017-01-12,.,.,PUNCT,.,._PUNCT
14,2017-01-12,Buy,buy,VERB,VB,buy_VERB
14,2017-01-12,L.L.,L.L.,PROPN,NNP,L.L._PROPN
14,2017-01-12,Bean,Bean,PROPN,NNP,Bean_PROPN
14,2017-01-12,.,.,PUNCT,.,._PUNCT
14,2017-01-12,@LBPerfectMaine,@LBPerfectMaine,PROPN,ADD,@LBPerfectMaine_PROPN
15,2015-05-21,"""","""",PUNCT,``,"""_PUNCT"
15,2015-05-21,"""","""",PUNCT,``,"""_PUNCT"
15,2015-05-21,@HarmonBrew,@harmonbrew,NOUN,NN,@harmonbrew_NOUN
15,2015-05-21,:,:,PUNCT,:,:_PUNCT
15,2015-05-21,@FoxNews,@FoxNews,PROPN,NNP,@FoxNews_PROPN
15,2015-05-21,@megynkelly,@megynkelly,PROPN,NNP,@megynkelly_PROPN
15,2015-05-21,DonaldTrump,DonaldTrump,PROPN,NNP,DonaldTrump_PROPN
15,2015-05-21,#,#,SYM,NN,#_SYM
15,2015-05-21,KellyFile,KellyFile,PROPN,NNP,KellyFile_PROPN
15,2015-05-21,Trump,Trump,PROPN,NNP,Trump_PROPN
15,2015-05-21,is,be,AUX,VBZ,be_AUX
15,2015-05-21,so,so,ADV,RB,so_ADV
15,2015-05-21,right,right,ADJ,JJ,right_ADJ
15,2015-05-21,about,about,ADP,IN,about_ADP
15,2015-05-21,Geller,Geller,PROPN,NNP,Geller_PROPN
15,2015-05-21,.,.,PUNCT,.,._PUNCT
15,2015-05-21,Megyn,Megyn,PROPN,NNP,Megyn_PROPN
15,2015-05-21,",",",",PUNCT,",",",_PUNCT"
15,2015-05-21,stop,stop,VERB,VB,stop_VERB
15,2015-05-21,advocating,advocate,VERB,VBG,advocate_VERB
15,2015-05-21,for,for,ADP,IN,for_ADP
15,2015-05-21,her,her,PRON,PRP,her_PRON
15,2015-05-21,",",",",PUNCT,",",",_PUNCT"
15,2015-05-21,its,its,PRON,PRP$,its_PRON
15,2015-05-21,a,a,DET,DT,a_DET
15,2015-05-21,loser,loser,NOUN,NN,loser_NOUN
15,2015-05-21,.,.,PUNCT,.,._PUNCT
15,2015-05-21,"""","""",PUNCT,'',"""_PUNCT"
15,2015-05-21,"""","""",PUNCT,'',"""_PUNCT"
16,2025-06-17,We,we,PRON,PRP,we_PRON
16,2025-06-17,now,now,ADV,RB,now_ADV
16,2025-06-17,have,have,VERB,VBP,have_VERB
16,2025-06-17,complete,complete,ADJ,JJ,complete_ADJ
16,2025-06-17,and,and,CCONJ,CC,and_CCONJ
16,2025-06-17,total,total,ADJ,JJ,total_ADJ
16,2025-06-17,control,control,NOUN,NN,control_NOUN
16,2025-06-17,of,of,ADP,IN,of_ADP
16,2025-06-17,the,the,DET,DT,the_DET
16,2025-06-17,skies,sky,NOUN,NNS,sky_NOUN
16,2025-06-17,over,over,ADP,IN,over_ADP
16,2025-06-17,Iran,Iran,PROPN,NNP,Iran_PROPN
16,2025-06-17,.,.,PUNCT,.,._PUNCT
16,2025-06-17,Iran,Iran,PROPN,NNP,Iran_PROPN
16,2025-06-17,had,have,VERB,VBD,have_VERB
16,2025-06-17,good,good,ADJ,JJ,good_ADJ
16,2025-06-17,sky,sky,NOUN,NN,sky_NOUN
16,2025-06-17,trackers,tracker,NOUN,NNS,tracker_NOUN
16,2025-06-17,and,and,CCONJ,CC,and_CCONJ
16,2025-06-17,other,other,ADJ,JJ,other_ADJ
16,2025-06-17,defensive,defensive,ADJ,JJ,defensive_ADJ
16,2025-06-17,equipment,equipment,NOUN,NN,equipment_NOUN
16,2025-06-17,",",",",PUNCT,",",",_PUNCT"
16,2025-06-17,and,and,CCONJ,CC,and_CCONJ
16,2025-06-17,plenty,plenty,NOUN,NN,plenty_NOUN
16,2025-06-17,of,of,ADP,IN,of_ADP
16,2025-06-17,it,it,PRON,PRP,it_PRON
16,2025-06-17,",",",",PUNCT,",",",_PUNCT"
16,2025-06-17,but,but,CCONJ,CC,but_CCONJ
16,2025-06-17,it,it,PRON,PRP,it_PRON
16,2025-06-17,does,do,AUX,VBZ,do_AUX
16,2025-06-17,n’t,not,PART,RB,not_PART
16,2025-06-17,compare,compare,VERB,VB,compare_VERB
16,2025-06-17,to,to,ADP,IN,to_ADP
16,2025-06-17,American,American,ADJ,JJ,American_ADJ
16,2025-06-17,made,make,VERB,VBN,make_VERB
16,2025-06-17,",",",",PUNCT,",",",_PUNCT"
16,2025-06-17,conceived,conceive,VERB,VBN,conceive_VERB
16,2025-06-17,",",",",PUNCT,",",",_PUNCT"
16,2025-06-17,and,and,CCONJ,CC,and_CCONJ
16,2025-06-17,manufactured,manufacture,VERB,VBD,manufacture_VERB
16,2025-06-17,“,'',PUNCT,``,''_PUNCT
16,2025-06-17,stuff,stuff,NOUN,NN,stuff_NOUN
16,2025-06-17,.,.,PUNCT,.,._PUNCT
16,2025-06-17,”,'',PUNCT,'',''_PUNCT
16,2025-06-17,Nobody,nobody,PRON,NN,nobody_PRON
16,2025-06-17,does,do,VERB,VBZ,do_VERB
16,2025-06-17,it,it,PRON,PRP,it_PRON
16,2025-06-17,better,good,ADJ,JJR,good_ADJ
16,2025-06-17,than,than,ADP,IN,than_ADP
16,2025-06-17,the,the,DET,DT,the_DET
16,2025-06-17,good,good,ADJ,JJ,good_ADJ
16,2025-06-17,ol’,ol’,NOUN,NN,ol’_NOUN
16,2025-06-17,USA,USA,PROPN,NNP,USA_PROPN
16,2025-06-17,.,.,PUNCT,.,._PUNCT
17,2025-07-27,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/,PROPN,ADD,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/_PROPN
18,2011-09-07,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home,PROPN,ADD,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home_PROPN
19,2014-05-23,Via,Via,PROPN,NNP,Via_PROPN
19,2014-05-23,@,@,ADP,IN,@_ADP
19,2014-05-23,BreitbartNews,BreitbartNews,PROPN,NNP,BreitbartNews_PROPN
19,2014-05-23,by,by,ADP,IN,by_ADP
19,2014-05-23,@,@,ADP,IN,@_ADP
19,2014-05-23,TheTonyLee,TheTonyLee,PROPN,NNP,TheTonyLee_PROPN
19,2014-05-23,:,:,PUNCT,:,:_PUNCT
19,2014-05-23,"""","""",PUNCT,``,"""_PUNCT"
19,2014-05-23,"""","""",PUNCT,``,"""_PUNCT"
19,2014-05-23,@,@,ADP,IN,@_ADP
19,2014-05-23,Citizens_United,Citizens_United,PROPN,NNP,Citizens_United_PROPN
19,2014-05-23,sues,sue,VERB,VBZ,sue_VERB
19,2014-05-23,@AGSchneiderman,@AGSchneiderman,PROPN,NNP,@AGSchneiderman_PROPN
19,2014-05-23,for,for,SCONJ,IN,for_SCONJ
19,2014-05-23,violating,violate,VERB,VBG,violate_VERB
19,2014-05-23,1st,1st,ADJ,JJ,1st_ADJ
19,2014-05-23,Amendment,amendment,NOUN,NN,amendment_NOUN
19,2014-05-23,"""","""",PUNCT,'',"""_PUNCT"
19,2014-05-23,"""","""",PUNCT,'',"""_PUNCT"
19,2014-05-23,http://t.co/1YMvzIOnfI,http://t.co/1YMvzIOnfI,PROPN,ADD,http://t.co/1YMvzIOnfI_PROPN
20,2015-09-02,"""","""",PUNCT,``,"""_PUNCT"
20,2015-09-02,"""","""",PUNCT,``,"""_PUNCT"
20,2015-09-02,@LBabcock2,@LBabcock2,PROPN,NNP,@LBabcock2_PROPN
20,2015-09-02,:,:,PUNCT,:,:_PUNCT
20,2015-09-02,@oreillyfactor,@oreillyfactor,PROPN,NNP,@oreillyfactor_PROPN
20,2015-09-02,@FoxNews,@FoxNews,PROPN,NNP,@FoxNews_PROPN
20,2015-09-02,I,I,PRON,PRP,I_PRON
20,2015-09-02,have,have,AUX,VBP,have_AUX
20,2015-09-02,always,always,ADV,RB,always_ADV
20,2015-09-02,wondered,wonder,VERB,VBN,wonder_VERB
20,2015-09-02,why,why,ADV,WRB,why_ADV
20,2015-09-02,Fox,Fox,PROPN,NNP,Fox_PROPN
20,2015-09-02,kept,keep,VERB,VBD,keep_VERB
20,2015-09-02,Rove,Rove,PROPN,NNP,Rove_PROPN
20,2015-09-02,on,on,ADP,IN,on_ADP
20,2015-09-02,after,after,ADP,IN,after_ADP
20,2015-09-02,his,his,PRON,PRP$,his_PRON
20,2015-09-02,disastrous,disastrous,ADJ,JJ,disastrous_ADJ
20,2015-09-02,election,election,NOUN,NN,election_NOUN
20,2015-09-02,predictions,prediction,NOUN,NNS,prediction_NOUN
20,2015-09-02,.,.,PUNCT,.,._PUNCT
20,2015-09-02,"""","""",PUNCT,'',"""_PUNCT"
20,2015-09-02,"""","""",PUNCT,'',"""_PUNCT"
20,2015-09-02,He,he,PRON,PRP,he_PRON
20,2015-09-02,is,be,AUX,VBZ,be_AUX
20,2015-09-02,a,a,DET,DT,a_DET
20,2015-09-02,joke,joke,NOUN,NN,joke_NOUN
20,2015-09-02,!,!,PUNCT,.,!_PUNCT
21,2020-04-06,Congratulations,congratulation,NOUN,NNS,congratulation_NOUN
21,2020-04-06,to,to,ADP,IN,to_ADP
